Word;Occurences;Themes
king;6614;
trust;6587;confidence
felt;6543;
tryna;6508;
between;6488;
daddy;6488;passion
comin;6484;
different;6477;
takes;6472;
sick;6467;pain anger
check;6463;
rest;6439;
talkin;6430;
already;6427;
fucking;6421;pain anger
mother;6405;serenity love
learn;6396;confidence
caught;6354;
started;6341;hope
calling;6318;
walking;6313;
perfect;6299;love hope
moon;6238;
says;6233;
wall;6231;
loved;6228;love happiness hope
drive;6224;
repeat;6217;
wants;6203;
tight;6202;
summer;6148;passion love
front;6125;
jump;6109;
feelin;6049;
mouth;6024;
lady;6001;
okay;5987;
breath;5978;
child;5978;
promise;5967;confidence
death;5923;sadness pain
gold;5912;hope
pick;5888;
above;5879;
seem;5857;
smoke;5849;
boom;5835;
hoes;5825;
woah;5811;
burning;5799;passion 
dancing;5789;passion
holding;5690;hope
yours;5689;
hello;5679;hope
wasn;5670;
broke;5614;sadness
lips;5582;passion
nice;5579;hope
hearts;5568;love
half;5547;
scared;5546;fear pain
peace;5533;serenity
speak;5524;
singing;5499;passion
worth;5493;
power;5468;
blame;5454;pain anger
kids;5437;serenity hope
swear;5419;confidence
hood;5409;
spend;5405;
number;5400;
pass;5386;
loud;5383;passion love
million;5350;
playing;5342;pain love
voice;5340;passion
most;5328;
skin;5314;passion love
minute;5307;
clear;5286;
taste;5279;passion love
doin;5277;
reach;5268;serenity hope
turned;5268;
somewhere;5222;
year;5222;
blind;5216;love hope
lover;5215;love happiness hope
upon;5196;
outside;5165;
giving;5160;
push;5128;
bright;5121;serenity hope
story;5109;
scream;5104;pain anger fear
meant;5072;
angel;5045;serenity hope
pussy;5030;
watching;5015;
land;5012;
ring;5008;
everyday;4956;
ones;4947;
worry;4936;confusion
lives;4900;
four;4887;
send;4884;
flow;4882;
nights;4873;passion
pray;4866;serenity
future;4849;hope
nowhere;4839;
rise;4820;hope
higher;4813;
trouble;4807;sadness fear 
carry;4800;
keeps;4761;
moving;4759;
dick;4738;
second;4736;
knees;4730;
fade;4703;
earth;4697;
livin;4681;
finally;4680;
breaking;4678;sadness
school;4677;confidence
bridge;4665;
leaving;4656;sadness
runnin;4637;fear
known;4634;confidence
picture;4622;hope
fell;4609;
everywhere;4604;confidence
gimme;4587;
great;4563;happiness hope 
called;4542;
empty;4534;
ladies;4534;passion love
grow;4516;
space;4507;
thank;4500;
kick;4498;passion
block;4489;
somethin;4485;confusion
across;4475;
telling;4472;
closer;4471;passion love
crying;4470;pain 
stuck;4448;sadness
five;4440;
losing;4425;sadness
tear;4406;
shawty;4392;love
shut;4374;
read;4370;
loves;4358;happines love
belong;4356;passion
looks;4354;
sexy;4352;passion love
faith;4341;
green;4339;hope
style;4323;serenity
clothes;4309;
ways;4308;
lead;4299;
ball;4287;
outta;4274;
cash;4272;
shoot;4263;
rich;4233;hope serenity
cannot;4217;
dear;4214;
against;4209;pain
hang;4207;passion
river;4181;
thats;4166;
rather;4150;
changed;4149;
anyone;4139;confusion
middle;4138;
thousand;4137;
heat;4129;
waste;4112;
brain;4091;
lovin;4086;happiness love hope
children;4074;serenity hope
thinkin;4062;
laugh;4038;happiness
brother;4037;serenity hope
paper;4029;
train;4029;
radio;4010;
window;4006;
oooh;4001;
shout;3995;
father;3994;
single;3991;
devil;3986;
ahead;3984;
needs;3947;love pain
mess;3944;pain anger
family;3935;serenity hope
dreaming;3892;serenity hope
darling;3874;love passion
turning;3874;
knock;3861;passion
hundred;3859;
sign;3856;passion
near;3852;passion
women;3851;love serenity
treat;3838;serenity
shame;3837;sadness fear 
shoes;3836;
simple;3816;
wear;3809;
magic;3802;happiness love hope
pretend;3802;confusion
less;3793;
doubt;3781;confusion
which;3780;
cant;3773;
sayin;3769;
hurts;3766;pain
walls;3764;
missing;3736;sadness
piece;3725;serenity
kinda;3719;
means;3713;
stick;3711;
point;3687;
fake;3685;sadness
lyrics;3683;
dying;3682;
queen;3678;love 
feelings;3669;
wide;3669;
yesterday;3669;
write;3657;
lets;3649;
share;3646;
miles;3628;
funny;3627;happiness confusion
cross;3622;
imma;3577;
mirror;3575;
strange;3575;confusion
track;3573;
anyway;3561;confidence
answer;3558;
makin;3557;
fill;3555;
safe;3548;serenity hope
shining;3528;
stupid;3520;anger
become;3515;
special;3493;
wine;3484;
someday;3477;
type;3475;
count;3466;
sight;3465;
fresh;3462;
west;3458;
looked;3457;
working;3457;
freak;3452;
happen;3450;
walked;3440;
glass;3434;
anybody;3427;confidence
stone;3422;
memories;3419;
crowd;3402;
almost;3397;
warm;3395;passion love
brand;3377;
clean;3373;serenity
fucked;3372;anger
probably;3371;
thoughts;3355;
corner;3348;
lying;3332;pain
killing;3331;sadness
crack;3329;
longer;3320;
rolling;3310;
deal;3309;
couple;3284;love hope
problem;3279;pain sadness
welcome;3278;
somehow;3261;confusion
secret;3243;
sense;3236;
none;3233;
york;3216;
having;3207;
shots;3188;
chain;3187;
hole;3184;
sitting;3179;
supposed;3179;
choose;3170;confusion
fighting;3167;anger passion
grab;3166;
brown;3164;
heavy;3163;sadness
clouds;3158;serenity
double;3156;
ocean;3145;serenity
needed;3143;
loose;3140;
darkness;3138;sadness
insane;3120;passion
drunk;3119;
bounce;3115;
diamonds;3113;hope love
quick;3112;
dope;3106;
jesus;3106;serenity hope
bottle;3090;
wings;3064;
small;3062;
spot;3060;
paid;3050;
bust;3048;
super;3038;happiness
scene;3024;
within;3009;
freedom;2990;happiness hope 
rockin;2986;
rollin;2983;
spit;2983;fear
motherfucker;2976;
whip;2975;
business;2973;
self;2970;
plan;2966;
glad;2958;happiness
bird;2947;
raise;2947;
