Word;Occurences;Themes
catch;7546;
sorry;7477;pain
each;7474;
tomorrow;7471;hope
wild;7468;
meet;7416;
anymore;7401;pain
tryin;7383;
soon;7382;hope
three;7347;
fuckin;7300;pain anger
such;7269;
born;7261;hope happiness
moment;7224;sadness happiness
whatever;7202;
fear;7199;fear pain
past;7131;sadness happiness
hair;7117;passion
follow;7092;
aint;7076;
honey;7075;hope love
gets;7060;
drink;7051;passion happiness
taking;7015;
being;7002;hope
dirty;6984;pain anger
wind;6969;confusion
phone;6932;
nothin;6906;
wouldn;6847;
both;6824;
apart;6818;pain sadness
water;6808;
streets;6806;
loving;6796;love hope
standing;6794;confidence
shot;6783;pain fear
saying;6769;
breathe;6748;passion
bang;6689;
very;6668;
christmas;6623;serenity hope
tired;6621;
afraid;6620;fear
king;6614;hope
trust;6587;confidence
felt;6543;confusion
tryna;6508;
between;6488;
daddy;6488;passion love
comin;6484;hope
different;6477;
takes;6472;
sick;6467;pain anger
check;6463;
rest;6439;
talkin;6430;
already;6427;
fucking;6421;pain anger
mother;6405;serenity love
learn;6396;confidence
caught;6354;pain
started;6341;hope
calling;6318;
walking;6313;serenity
perfect;6299;love hope confidence
moon;6238;
says;6233;
wall;6231;sadness
loved;6228;love happiness hope
drive;6224;
repeat;6217;
wants;6203;passion
tight;6202;confusion passion
summer;6148;passion love happiness
front;6125;
jump;6109;
feelin;6049;passion love
mouth;6024;passion
lady;6001;passion love
okay;5987;
breath;5978;love 
child;5978;love 
promise;5967;confidence hope
death;5923;sadness pain
gold;5912;hope happiness
pick;5888;
above;5879;
seem;5857;confusion
smoke;5849;
boom;5835;happiness
hoes;5825;passion
woah;5811;happiness
burning;5799;passion
dancing;5789;passion happiness
holding;5690;hope confidence
yours;5689;
hello;5679;hope
wasn;5670;
broke;5614;sadness pain
lips;5582;passion
nice;5579;hope
hearts;5568;love passion
half;5547;
scared;5546;fear pain
peace;5533;serenity happiness
speak;5524;
singing;5499;passion
worth;5493;
power;5468;confidence
blame;5454;pain anger
kids;5437;serenity hope
swear;5419;confidence
hood;5409;
spend;5405;
number;5400;
pass;5386;hope
loud;5383;passion love
million;5350;hope
playing;5342;pain love passion
voice;5340;passion
most;5328;
skin;5314;passion love
minute;5307;
clear;5286;confidence
taste;5279;passion love
doin;5277;
reach;5268;serenity hope
turned;5268;
somewhere;5222;
year;5222;
blind;5216;love hope
lover;5215;love happiness hope
upon;5196;
outside;5165;
giving;5160;
push;5128;
bright;5121;serenity hope
story;5109;
scream;5104;pain anger fear
meant;5072;hope
angel;5045;serenity hope
pussy;5030;passion
watching;5015;
land;5012;
ring;5008;
everyday;4956;serenity
ones;4947;
worry;4936;confusion love
lives;4900;hope
four;4887;
send;4884;
flow;4882;hope
nights;4873;passion
pray;4866;serenity hope
future;4849;hope
nowhere;4839;confusion
rise;4820;hope
higher;4813;hope
trouble;4807;sadness fear
carry;4800;passion love
keeps;4761;
moving;4759;
dick;4738;passion
second;4736;
knees;4730;passion
fade;4703;confusion
earth;4697;hope
livin;4681;
finally;4680;
breaking;4678;sadness pain
school;4677;confidence
bridge;4665;hope
leaving;4656;sadness
runnin;4637;fear hope
known;4634;confidence
picture;4622;hope happiness sadness
fell;4609;pain
everywhere;4604;confidence
gimme;4587;
great;4563;happiness hope
called;4542;love
empty;4534;
ladies;4534;passion love
grow;4516;hope
space;4507;hope
thank;4500;
kick;4498;passion
block;4489;
somethin;4485;confusion
across;4475;
telling;4472;
closer;4471;passion love
crying;4470;pain sadness
stuck;4448;sadness
five;4440;
losing;4425;sadness
tear;4406;pain sadness
shawty;4392;love passion
shut;4374;
read;4370;
loves;4358;happiness love passion
