Word;Occurences;Themes
trunk;1218;
christ;1217;
drinks;1217;happiness
throat;1216;pain
date;1215;love
feat;1215;
innocent;1215;hope love
mile;1214;
trapped;1212;
lemme;1210;hope
generation;1208;hope
cards;1206;
suicide;1206;pain sadness
tick;1205;
satisfied;1204;happiness
havin;1203;
screamin;1203;fear pain
undone;1203;confusion
conversation;1202;happiness
enjoy;1199;
strip;1199;passion
coke;1198;madness
stops;1198; confidence
addicted;1196;
fail;1196;pain anger sadness
private;1196;
praying;1195;serenity hope
steps;1194;
load;1192;pain
stories;1190;
garden;1189;serenity
stress;1188;confusion fear
sheets;1187;
careful;1186;passion love
ignore;1185;pain
soulja;1185;
stack;1185;pain anger
whether;1185;confusion
slave;1183;
order;1182;confidence
drip;1178;
blessed;1177;serenity happiness
killin;1176;madness pain
truly;1174;hope love
walks;1174;
chances;1172;hope love happiness
purple;1171;hope serenity
lesson;1170;
sink;1170;pain sadness
moments;1169;passion love
putting;1169;
madness;1168;sadness madness pain
enemies;1167;madness anger pain
planet;1166;
wicked;1166;pain anger
bars;1165;
dancer;1163;happiness passion
records;1163;
toes;1163;
boogie;1162;happiness
standin;1162;confidence hope
vain;1162;sadness pain confidence
relax;1159;serenity
blah;1158;
funk;1158;fear
plenty;1158;passion
bother;1157;anger
brick;1156;
aren;1154;
split;1154;pain
rainbow;1153;happiness passion
seemed;1153;confusion
jungle;1150;confusion madness
ticket;1150;
sunny;1149;happiness serenity
names;1148;passion
hall;1146;
onto;1146;
tide;1146;
buried;1145;pain sadness
forward;1145;confidence hope
curse;1143;madness anger pain sadness
pink;1143;love passion
camera;1141;confusion
attitude;1140;confidence
shoulda;1139;pain confusion
crush;1138;sadness love passion
hardly;1138;pain passion
rapper;1137;passion
stacks;1137;
electric;1136;
card;1135;
island;1133;serenity
clown;1132;sadness happiness
believed;1131;hope
shades;1131;confusion fear
victim;1130;pain fear sadness
warning;1129;confusion fear
wipe;1126;
complete;1125;happiness serenity
rage;1124;anger pain
season;1124;hope
recognize;1122;
plays;1120;passion serenity
boots;1119;
certain;1119;confidence
dropped;1118;pain fear
circles;1117;
adore;1116;happiness love hope passion
coat;1116;
mountains;1116;hope
able;1115;confidence
bills;1114;
loaded;1113;happiness
metal;1113;
ours;1112;
believing;1111;hope
zero;1111;sadness
brighter;1110;happiness
loneliness;1110;sadness pain
stones;1110;
travel;1110;serenity passion
snap;1109;pain
suit;1107;
fish;1106;confusion
worried;1103;confusion
sacrifice;1098;love pain sadness
squeeze;1098;pain
spring;1097;hope
hurting;1094;sadness pain
hills;1092;
although;1091;confusion
demons;1090;madness anger sadness fear
playa;1089;happiness serenity
pockets;1089;
press;1089;confusion
mister;1088;passion
cast;1087;
disco;1087;happiness
hatin;1087;pain anger
hopes;1086;hope
struggle;1086;confusion pain passion
strike;1083;pain anger
plain;1082;confidence
weren;1082;confusion
lust;1081;passion love
foolish;1079;madness confusion
sinking;1078;pain fear sadness
smiles;1078;happiness serenity
telephone;1076;confusion
extra;1073;happiness passion
fortune;1072;happiness serenity
universe;1072;hope passion
waking;1072;hope
raining;1068;confusion sadness
bein;1066;hope
married;1066;happiness hope love
opened;1066;hope
pistol;1066;pain fear
whose;1066;
dreamed;1065;serenity love hope
juice;1065;happiness
floating;1063;confusion
fist;1061;pain
bedroom;1060;serenity
spending;1059;passion
cure;1058;confusion passion
holiday;1057;serenity happiness
nervous;1057;pain fear confusion
witness;1057;serenity hope
fashion;1056;passion
deck;1055;
station;1055;
vibe;1055;passion serenity
claim;1054;confidence
miami;1054;happiness
shore;1053;happiness serenity hope
saving;1052;serenity happiness hope
screen;1052;
finding;1049;hope
bullets;1048;pain
darkest;1048;sadness pain confusion
refuse;1048;anger
downtown;1047;
eyed;1047;passion
main;1047;confidence
plastic;1046;
wood;1045;
staying;1044;hope
dawg;1040;hope serenity
dies;1040;pain fear sadness
except;1037;
worlds;1034;hope
ashes;1032;sadness pain
cell;1032;
painted;1032;passion
eating;1031;serenity happiness
echo;1031;
energy;1031;passion
kicks;1031;pain
fifty;1030;
leather;1030;
chose;1029;confidence
hearing;1027;confidence
cute;1024;happiness passion
laughter;1024;happiness serenity
troubles;1024;pain anger madness fear
bloody;1023;anger fear pain
north;1022;hope
resist;1022;anger passion
touching;1021;passion
blown;1020;anger
disease;1019;pain fear
cock;1018;confidence
knocking;1018;confidence
willing;1018;confidence
winner;1017;happiness
frozen;1016;pain fear
toast;1015;happiness serenity confidence
grows;1014;confidence hope
shape;1014;passion
wire;1012;hope pain
field;1010;confusion
further;1010;passion
mighty;1010;passion confidence
beer;1009;confusion pain happiness
picked;1009;confidence
lots;1008;passion
angry;1007;anger confusion
apple;1007;serenity happiness
missin;1007;confidence
prison;1007;pain
pills;1006;confusion
jackson;1005;
simply;1005;serenity
strangers;1005;fear pain
crashing;1003;pain fear confusion
mack;1003;pain sadness
pretending;1003;confusion
cheese;1002;happiness love
Confidence;1;Confidence
Passion;1;Passion
Happiness;1;Happiness
Serenity;1;Serenity
Hope;1;Hope
Madness;1;Madness
Confusion;1;Confusion
Anger;1;Anger
Pain;1;Pain
Fear;1;Fear
Sadness;1;Sadness
mad;1;madness
madness;1;madness
hurt;1;Madness
sadness;1;sadness pain
serenity;1;serenity hope
confident;1;confidence passion love
that;366341;
like;1;passion
love;1;love
sad;1;sadness
holiday;1;serenity
beach;1;serenity
sun;1;serenity
devil;1;Madness
alone;1;sadness
lonely;1;sadness
stressed;1;sadness
blues;1;sadness
angry;1;Anger
obsessed;1;pain
heaven;1;Happiness
friend;1;Happiness
evil;1;fear pain
party;1;passion
dance;1;passion
dancing;1;passion
drink;1;passion
drinking;1;passion
run;1;passion
strong;1;Confidence
powerful;1;Confidence
resilient;1;Confidence
smart;1;Confidence
dark;1;sadness
homeless;1;Sadness
shout;1;pain
cry;1;hurt
hurt;1;hurt
Brazil;1;Passion
Morocco;1;Passion
London;1;Passion
Ibiza;1;Passion
floor;1;Passion
confident;1;confidence
anymore;1;sadness
breaking;1;sadness
outside;1;sadness
matter;1;sadness
least;1;sadness
Ooh-ooh;1;sadness
sorry;1;sadness
nothing;1;sadness
healing;1;sadness
wondering;1;pain
diamond;1;Happiness
Shine bright;1;Happiness
beautiful;1;Happiness
sky;1;Happiness
ecstasy;1;Happiness
Unstoppable;1;confidence
